League,Team,Score,W/L/D,Date
Canada - Canadian Championship,Forge FC,2,D,2025-08-14
Canada - Canadian Championship,Vancouver Whitecaps,2,D,2025-08-14
Canada - Canadian Championship,Vancouver FC,3,W,2025-08-14
Canada - Canadian Championship,Atletico Ottawa,1,L,2025-08-14
Colombia - Cup,Real Cundinamarca,1,W,2025-08-14
Colombia - Cup,Fjoelnir,0,L,2025-08-14
Colombia - Primera A,Deportivo Cali,3,W,2025-08-14
Colombia - Primera A,Union Magdalena,1,L,2025-08-14
International - CONCACAF Central American Cup,Sporting San Miguelito,2,W,2025-08-14
International - CONCACAF Central American Cup,Diriangen FC,1,L,2025-08-14
International - CONCACAF Central American Cup,CSD Municipal,2,W,2025-08-14
International - CONCACAF Central American Cup,Real Espana,1,L,2025-08-14
International - CONCACAF Central American Cup,Alianza FC,1,W,2025-08-14
International - CONCACAF Central American Cup,Managua FC,0,L,2025-08-14
International - Copa Libertadores,Flamengo,1,W,2025-08-14
International - Copa Libertadores,Internacional,0,L,2025-08-14
International - Copa Sudamericana,Alianza Lima,2,W,2025-08-14
International - Copa Sudamericana,Fjoelnir,0,L,2025-08-14
International - Copa Sudamericana,Universidad de Chile,1,W,2025-08-14
International - Copa Sudamericana,Independiente,0,L,2025-08-14
Mexico - Liga MX Femenil,Club Leon,3,W,2025-08-14
Mexico - Liga MX Femenil,FC Juarez,2,L,2025-08-14
Mexico - Liga MX Femenil,Toluca,2,W,2025-08-14
Mexico - Liga MX Femenil,CD Guadalajara Chivas,1,L,2025-08-14
Mexico - Liga MX Femenil,CF America,3,W,2025-08-14
Mexico - Liga MX Femenil,Barnet,0,L,2025-08-14
USA - US Open Cup,Philadelphia Union,3,W,2025-08-14
USA - US Open Cup,Barnet,2,L,2025-08-14
Colombia - Cup,Tolima,0,L,2025-08-14
International - Copa Sudamericana,Universidad Catolica,0,L,2025-08-14
Mexico - Liga MX Femenil,Puebla,0,L,2025-08-14
USA - US Open Cup,New York Red Bulls,2,L,2025-08-14
