League,Team,Score,W/L/D,Date
International - Europa League Qualification,KuPS,not started yet, ,2025-08-14
International - Europa League Qualification,RFS,not started yet, ,2025-08-14
International - Europa League Qualification,FC Midtjylland,not started yet, ,2025-08-14
International - Europa League Qualification,Fredrikstad,not started yet, ,2025-08-14
International - Europa League Qualification,Brann,not started yet, ,2025-08-14
International - Europa League Qualification,Haecken,not started yet, ,2025-08-14
International - Europa League Qualification,FC Noah,not started yet, ,2025-08-14
International - Europa League Qualification,Lincoln Red Imps FC,not started yet, ,2025-08-14
International - Europa League Qualification,Wolfsberger AC,not started yet, ,2025-08-14
International - Europa League Qualification,PAOK Thessaloniki FC,not started yet, ,2025-08-14
International - Europa League Qualification,Breidablik,not started yet, ,2025-08-14
International - Europa League Qualification,Zrinjski Mostar,not started yet, ,2025-08-14
International - Europa League Qualification,Shakhtar Donetsk,not started yet, ,2025-08-14
International - Europa League Qualification,Panathinaikos,not started yet, ,2025-08-14
International - Europa League Qualification,Maccabi Tel Aviv,not started yet, ,2025-08-14
International - Europa League Qualification,Hamrun Spartans,not started yet, ,2025-08-14
International - Europa League Qualification,Drita,not started yet, ,2025-08-14
International - Europa League Qualification,FC FCSB,not started yet, ,2025-08-14
International - Europa League Qualification,FC Utrecht,not started yet, ,2025-08-14
International - Europa League Qualification,Servette,not started yet, ,2025-08-14
International - Europa League Qualification,Braga,not started yet, ,2025-08-14
International - Europa League Qualification,CFR Cluj,not started yet, ,2025-08-14
International - Europa League Qualification,Legia Warszawa,not started yet, ,2025-08-14
International - Europa League Qualification,AEK Larnaca,not started yet, ,2025-08-14
International - Conference League Qualification,FC Astana,not started yet, ,2025-08-14
International - Conference League Qualification,Lausanne,not started yet, ,2025-08-14
International - Conference League Qualification,Sabah FK,not started yet, ,2025-08-14
International - Conference League Qualification,Levski Sofia,not started yet, ,2025-08-14
International - Conference League Qualification,Ararat Armenia,not started yet, ,2025-08-14
International - Conference League Qualification,Sparta Prague,not started yet, ,2025-08-14
International - Conference League Qualification,FCI Levadia,not started yet, ,2025-08-14
International - Conference League Qualification,FC Differdange 03,not started yet, ,2025-08-14
International - Conference League Qualification,Omonia Nicosia,not started yet, ,2025-08-14
International - Conference League Qualification,Araz PFK,not started yet, ,2025-08-14
International - Conference League Qualification,Gyori ETO,not started yet, ,2025-08-14
International - Conference League Qualification,AIK,not started yet, ,2025-08-14
International - Conference League Qualification,Hammarby,not started yet, ,2025-08-14
International - Conference League Qualification,Rosenborg,not started yet, ,2025-08-14
International - Conference League Qualification,Paksi SE,not started yet, ,2025-08-14
International - Conference League Qualification,Polissya Zhytomyr,not started yet, ,2025-08-14
International - Conference League Qualification,FC Sheriff,not started yet, ,2025-08-14
International - Conference League Qualification,Anderlecht,not started yet, ,2025-08-14
International - Conference League Qualification,Arda Kardzhali,not started yet, ,2025-08-14
International - Conference League Qualification,FK Kauno Zalgiris,not started yet, ,2025-08-14
International - Conference League Qualification,FC Vaduz,not started yet, ,2025-08-14
International - Conference League Qualification,AZ Alkmaar,not started yet, ,2025-08-14
International - Conference League Qualification,Beitar Jerusalem,not started yet, ,2025-08-14
International - Conference League Qualification,Riga FC,not started yet, ,2025-08-14
International - Conference League Qualification,Brondby IF,not started yet, ,2025-08-14
International - Conference League Qualification,Vikingur Reykjavik,not started yet, ,2025-08-14
International - Conference League Qualification,AEK Athens,not started yet, ,2025-08-14
International - Conference League Qualification,Aris Limassol,not started yet, ,2025-08-14
International - Conference League Qualification,NK Celje,not started yet, ,2025-08-14
International - Conference League Qualification,Lugano,not started yet, ,2025-08-14
International - Conference League Qualification,Besiktas,not started yet, ,2025-08-14
International - Conference League Qualification,St. Patrick's Athletic,not started yet, ,2025-08-14
International - Conference League Qualification,Maccabi Haifa,not started yet, ,2025-08-14
International - Conference League Qualification,Rakow Czestochowa,not started yet, ,2025-08-14
International - Conference League Qualification,Neman Grodno,not started yet, ,2025-08-14
International - Conference League Qualification,Klaksvik,not started yet, ,2025-08-14
International - Conference League Qualification,Jagiellonia Bialystok,not started yet, ,2025-08-14
International - Conference League Qualification,Silkeborg,not started yet, ,2025-08-14
International - Conference League Qualification,Spartak Trnava,not started yet, ,2025-08-14
International - Conference League Qualification,Universitatea Craiova,not started yet, ,2025-08-14
International - Conference League Qualification,Linfield,not started yet, ,2025-08-14
International - Conference League Qualification,Vikingur,not started yet, ,2025-08-14
International - Conference League Qualification,Dundee United,not started yet, ,2025-08-14
International - Conference League Qualification,Rapid Wien,not started yet, ,2025-08-14
International - Conference League Qualification,FC Dinamo City,not started yet, ,2025-08-14
International - Conference League Qualification,Hajduk Split,not started yet, ,2025-08-14
International - Conference League Qualification,Austria Wien,not started yet, ,2025-08-14
International - Conference League Qualification,Banik Ostrava,not started yet, ,2025-08-14
International - Conference League Qualification,Shamrock Rovers,not started yet, ,2025-08-14
International - Conference League Qualification,Ballkani,not started yet, ,2025-08-14
International - Conference League Qualification,Egnatia,not started yet, ,2025-08-14
International - Conference League Qualification,Olimpija Ljubljana,not started yet, ,2025-08-14
International - Conference League Qualification,Santa Clara,not started yet, ,2025-08-14
International - Conference League Qualification,Larne,not started yet, ,2025-08-14
International - Conference League Qualification,Hibernian,not started yet, ,2025-08-14
International - Conference League Qualification,Partizan Belgrade,not started yet, ,2025-08-14
International - Conference League Qualification,Virtus Acquaviva,not started yet, ,2025-08-14
International - Conference League Qualification,FC Milsami Orhei,not started yet, ,2025-08-14
Egypt - Premier League,ZED FC,not started yet, ,2025-08-14
Egypt - Premier League,Ceramica Cleopatra,not started yet, ,2025-08-14
Egypt - Premier League,Al Ittihad Alexandria,not started yet, ,2025-08-14
Egypt - Premier League,Modern Sport FC,not started yet, ,2025-08-14
Egypt - Premier League,Pyramids FC,not started yet, ,2025-08-14
Egypt - Premier League,Ismaily SC,not started yet, ,2025-08-14
Egypt - Premier League,Tala'ea El Gaish,not started yet, ,2025-08-14
Egypt - Premier League,Al Masry SC,not started yet, ,2025-08-14
Qatar - Stars League,Al-Rayyan,not started yet, ,2025-08-14
Qatar - Stars League,Al-Sailiya,not started yet, ,2025-08-14
Qatar - Stars League,Al-Shamal,not started yet, ,2025-08-14
Qatar - Stars League,Al-Ahli,not started yet, ,2025-08-14
Canada - Canadian Championship,Forge FC,2,D,2025-08-14
Canada - Canadian Championship,Vancouver Whitecaps,2,D,2025-08-14
Canada - Canadian Championship,Vancouver FC,3,W,2025-08-14
Canada - Canadian Championship,Atletico Ottawa,1,L,2025-08-14
Colombia - Cup,Real Cundinamarca,1,W,2025-08-14
Colombia - Cup,Tolima,0,L,2025-08-14
Colombia - Primera A,Deportivo Cali,3,W,2025-08-14
Colombia - Primera A,Union Magdalena,1,L,2025-08-14
International - African Nations Championship,Morocco,not started yet, ,2025-08-14
International - African Nations Championship,Zambia,not started yet, ,2025-08-14
International - African Nations Championship,Angola,not started yet, ,2025-08-14
International - African Nations Championship,DR Congo,not started yet, ,2025-08-14
International - Club Friendlies,SSC Napoli,not started yet, ,2025-08-14
International - Club Friendlies,Olympiacos,not started yet, ,2025-08-14
International - CONCACAF Central American Cup,Sporting San Miguelito,2,W,2025-08-14
International - CONCACAF Central American Cup,Diriangen FC,1,L,2025-08-14
International - CONCACAF Central American Cup,CSD Municipal,2,W,2025-08-14
International - CONCACAF Central American Cup,Real Espana,1,L,2025-08-14
International - CONCACAF Central American Cup,Alianza FC,1,W,2025-08-14
International - CONCACAF Central American Cup,Managua FC,0,L,2025-08-14
International - Copa Libertadores,Flamengo,1,W,2025-08-14
International - Copa Libertadores,Internacional,0,L,2025-08-14
International - Copa Libertadores,Botafogo RJ,not started yet, ,2025-08-14
International - Copa Libertadores,LDU de Quito,not started yet, ,2025-08-14
International - Copa Sudamericana,Alianza Lima,2,W,2025-08-14
International - Copa Sudamericana,Universidad Catolica,0,L,2025-08-14
International - Copa Sudamericana,Universidad de Chile,1,W,2025-08-14
International - Copa Sudamericana,Independiente,0,L,2025-08-14
International - Copa Sudamericana,Atletico MG,not started yet, ,2025-08-14
International - Copa Sudamericana,Godoy Cruz,not started yet, ,2025-08-14
Mexico - Liga MX Femenil,Club Leon,3,W,2025-08-14
Mexico - Liga MX Femenil,FC Juarez,2,L,2025-08-14
Mexico - Liga MX Femenil,Toluca,2,W,2025-08-14
Mexico - Liga MX Femenil,CD Guadalajara Chivas,1,L,2025-08-14
Mexico - Liga MX Femenil,CF America,3,W,2025-08-14
Mexico - Liga MX Femenil,Puebla,0,L,2025-08-14
Mexico - Liga MX Femenil,Mazatlan FC,not started yet, ,2025-08-14
Mexico - Liga MX Femenil,Pumas UNAM,not started yet, ,2025-08-14
Norway - Cup,Flint,not started yet, ,2025-08-14
Norway - Cup,Eik-Toensberg,not started yet, ,2025-08-14
USA - US Open Cup,Philadelphia Union,3,W,2025-08-14
USA - US Open Cup,New York Red Bulls,2,L,2025-08-14
USA - USL League One,One Knoxville SC,not started yet, ,2025-08-14
USA - USL League One,Richmond Kickers,not started yet, ,2025-08-14
